order_id,order_date,year,region,product_name,category,sales_amount,quantity
1,2015-01-15,2015,East,Laptop,Technology,1200,1
2,2015-03-12,2015,West,Office Chair,Furniture,350,2
3,2016-05-20,2016,Central,Printer,Technology,450,1
4,2016-07-18,2016,South,Desk,Furniture,600,1
5,2017-02-10,2017,East,Tablet,Technology,800,2
6,2017-08-25,2017,West,Bookshelf,Furniture,500,1
7,2018-04-14,2018,Central,Filing Cabinet,Office Supplies,300,3
8,2018-09-30,2018,South,Router,Technology,250,2
9,2018-11-05,2018,East,Laptop,Technology,1300,1
10,2017-12-19,2017,West,Office Chair,Furniture,400,1
11,2016-06-22,2016,East,Desk,Furniture,550,1
12,2015-10-08,2015,South,Printer,Technology,500,1
13,2018-01-17,2018,Central,Tablet,Technology,900,1
14,2017-03-09,2017,East,Bookshelf,Furniture,450,2
15,2016-12-11,2016,West,Filing Cabinet,Office Supplies,320,2
